trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 0.5, 'e': 0.4109999999999971}",25,8,-52.91697730220719,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.4062499999999971}",25,13,8.09782441922874,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.40149999999999714}",20,7,-3.530091641535919,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.39674999999999716}",25,0,-62.946636274063835,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.3919999999999972}",30,15,11.066932417873728,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.3872499999999972}",25,11,-17.703346275160424,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.38249999999999723}",30,7,-20.600808506198014,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.37774999999999725}",20,14,11.113274106494119,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3729999999999973}",25,6,-16.661104145096516,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3682499999999973}",20,11,4.249484888249247,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.3634999999999973}",30,13,-21.21265282618632,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.35874999999999735}",25,13,-61.90607539052192,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
136,False,"{'a': 0.5, 'e': 0.3539999999999974}",30,12,25.21870880043944,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3492499999999974}",20,7,4.01058109465907,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3444999999999974}",30,16,22.654853788274565,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.33974999999999744}",30,17,-20.44925688991237,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.33499999999999747}",20,9,5.101847690880842,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.3302499999999975}",20,7,-2.2529501265956924,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.3254999999999975}",20,7,24.28591390282509,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.32074999999999754}",25,9,-3.519800828798941,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.31599999999999756}",30,18,12.916782429137593,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.3112499999999976}",30,16,3.058111059838735,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.3064999999999976}",20,9,19.760980215518178,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.30174999999999763}",20,15,9.789758757926306,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.29699999999999765}",20,6,27.524924955341266,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.2922499999999977}",30,16,6.483132050006191,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.2874999999999977}",25,12,18.17168841934131,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.2827499999999977}",20,7,21.902144227006207,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.27799999999999775}",25,15,18.536485410664504,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.2732499999999978}",20,3,-53.31213602319599,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.2684999999999978}",20,0,8.230671222781892,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
